facets,alpha,omega
O1,0.68,0.68
O2,0.7,0.72
O3,0.66,0.67
O4,0.85,0.86
O5,0.81,0.82
O6,0.78,0.79
O7,0.81,0.82
O8,0.71,0.71
O9,0.8,0.81
C1,0.71,0.73
C2,0.57,0.62
C3,0.68,0.69
C4,0.81,0.81
C5,0.77,0.77
C6,0.68,0.69
C7,0.82,0.83
C8,0.63,0.67
C9,0.68,0.69
E1,0.66,0.68
E2,0.7,0.72
E3,0.65,0.68
E4,0.82,0.83
E5,0.68,0.7
E6,0.75,0.75
E7,0.79,0.79
E8,0.69,0.71
E9,0.71,0.74
A1,0.71,0.73
A2,0.72,0.74
A3,0.72,0.72
A4,0.54,0.57
A5,0.61,0.63
A6,0.65,0.69
A7,0.65,0.68
A8,0.52,0.56
N1,0.74,0.75
N2,0.86,0.86
N3,0.77,0.77
N4,0.7,0.71
N5,0.62,0.64
N6,0.75,0.76
N7,0.6,0.63
