1	-0.284	0.139	1.154	-0.230	-0.585	0.681	-0.709	0.199	1.851	-0.130	-0.264	1.034	1.170	0.585	-0.898	0.247	0.685	-1.176	0.416	-0.768	0.468	1.277	0.320	0.811	1.040	0.665	-0.193	-0.247	-0.959	1.040	-0.191	-0.996	0.569	0.212	0.125	0.424	-0.172	-0.616	0.125	-0.369	0.885	0.307
2	0.077	-1.280	-0.427	-0.455	-0.788	0.104	-0.755	-0.303	0.867	-1.591	-2.169	0.743	0.940	0.585	-0.723	0.154	1.783	-0.167	-1.795	-0.163	1.127	0.175	-1.323	-0.731	0.199	0.851	-2.041	-1.914	-0.041	0.717	-1.462	-0.057	-0.504	-0.629	0.142	0.870	0.546	0.446	0.156	1.539	0.061	0.307
3	-0.884	1.002	-0.319	-0.409	-1.640	-0.968	0.191	-0.542	-0.201	0.264	1.297	-1.444	-0.392	0.585	1.077	0.991	0.313	1.501	-0.069	0.635	-0.123	-0.328	-2.373	-1.095	-2.231	-1.451	-0.523	0.519	-0.980	0.955	0.599	-1.102	0.217	0.301	-0.086	0.045	-1.659	0.210	0.803	0.586	-1.827	0.307
4	-0.400	-0.768	0.915	-0.902	-1.878	-0.648	1.818	1.160	1.716	-1.591	0.285	-1.224	0.996	-0.934	1.915	0.136	0.231	-0.048	2.825	0.850	1.144	0.990	0.369	0.925	1.536	0.665	0.176	-1.313	0.186	1.914	0.221	-0.713	0.402	1.100	0.889	1.181	-1.348	1.142	1.146	0.678	-1.084	1.421
5	-0.269	-0.136	-0.937	-0.435	0.231	-1.499	-0.473	-0.645	-0.025	1.698	-0.951	1.894	0.361	0.852	-0.154	0.750	0.572	-1.091	-1.247	-0.110	-1.719	0.130	-0.697	-0.014	0.004	-1.594	-0.523	0.982	0.259	0.327	0.334	-0.461	0.121	-0.652	0.489	0.179	0.359	0.332	0.224	-0.209	-0.889	0.307
6	-0.269	-0.101	-0.536	-0.617	-0.585	0.246	-0.891	0.622	-0.154	-0.130	-0.951	0.533	-0.035	0.585	-0.362	-0.330	0.572	0.101	-0.222	0.080	0.358	-1.286	-0.853	-0.731	0.199	0.665	-1.302	-0.989	-1.028	0.493	-0.818	0.069	-0.032	-1.083	-0.086	-0.006	0.373	-0.454	-0.292	0.034	-0.092	0.307
7	-0.566	-1.503	-0.759	0.152	0.430	0.160	-1.441	0.696	0.572	0.166	-1.206	0.774	0.639	1.949	-0.524	1.403	0.551	-0.048	-0.803	0.131	-0.189	0.930	0.141	-0.440	0.197	-0.096	-1.520	-0.207	-0.153	0.537	-0.191	-1.064	-0.032	-0.730	0.967	0.781	0.279	0.644	1.146	0.995	-0.113	1.783
8	1.136	-0.826	0.196	0.845	0.239	1.754	-0.641	1.376	-0.154	0.050	-0.444	-1.430	0.479	0.154	0.403	0.009	2.615	-0.683	0.893	1.037	1.837	0.848	2.185	2.016	0.690	1.302	-0.614	-1.014	-1.187	-0.168	-0.257	0.864	0.025	1.187	1.650	1.932	1.977	1.947	1.972	1.539	1.226	0.562
9	1.691	-1.083	-0.157	1.027	-0.353	1.803	0.555	0.642	-0.682	-1.058	0.304	2.179	0.996	2.046	-0.420	1.796	0.907	-0.443	-0.265	0.277	1.258	1.343	-0.829	-0.655	0.646	-0.409	0.895	-1.014	0.075	0.988	-0.249	-0.010	0.676	0.456	1.650	1.245	-2.188	-0.781	0.982	0.867	-1.233	-0.483
10	0.077	-1.503	-1.412	0.379	-0.585	0.715	-1.288	0.633	-1.340	-0.130	-1.138	1.792	0.291	0.585	-0.362	0.504	1.073	0.101	-0.556	-0.189	0.358	-1.556	-0.710	-1.181	-0.928	-0.568	-1.379	-1.313	-0.956	0.327	0.340	0.058	-1.235	-0.620	1.194	0.115	-1.373	0.701	1.146	0.419	0.061	0.307
11	-0.269	0.139	-0.752	0.359	-0.026	0.681	-0.473	0.633	-0.889	0.031	-1.339	1.070	0.043	1.202	-0.723	0.514	0.639	0.736	-1.200	0.080	-0.953	-0.384	-0.932	-0.950	-1.299	-0.409	0.056	-0.247	0.011	0.553	0.103	-0.195	0.569	-1.048	-1.332	0.424	-0.054	-0.955	0.156	-0.598	-0.162	0.307
12	0.265	-0.733	0.161	0.771	0.125	0.510	-0.709	0.051	0.105	-1.069	0.603	-0.183	1.115	-0.134	0.010	2.140	0.512	-0.921	-0.465	0.434	0.823	0.111	1.692	0.487	0.269	0.505	-0.923	-0.254	0.160	0.305	-0.750	0.372	-0.032	-0.156	0.944	-0.244	0.592	-0.616	-0.003	-0.369	0.427	-0.729
13	-0.615	1.109	1.544	0.799	0.819	0.202	1.165	-1.461	0.797	0.886	0.463	0.537	0.043	-1.021	-1.070	1.185	0.685	-1.176	1.212	-1.281	0.358	0.736	0.362	0.528	1.323	0.665	-0.104	0.270	0.390	0.493	0.690	-0.324	1.155	0.703	0.944	-0.652	-2.188	0.863	-0.318	-0.503	0.885	-0.296
14	-0.444	0.462	-0.506	-0.326	0.275	-1.130	-0.473	1.073	1.458	0.387	0.921	-0.897	-1.122	0.753	-0.597	0.745	-1.037	0.375	-0.493	0.197	-0.459	0.460	-0.467	-0.038	-0.598	-0.409	1.130	0.086	0.356	-0.443	1.092	-0.086	-0.032	-0.220	-0.661	0.424	0.229	0.444	0.245	-1.335	0.885	-0.755
15	0.043	1.109	0.750	0.976	1.128	0.768	0.873	-0.303	-0.063	0.463	-0.255	0.774	0.996	-0.525	-0.535	0.111	0.874	0.492	-0.822	0.514	-0.266	-0.766	0.243	-0.231	-0.393	-0.096	0.953	0.592	0.678	-1.643	0.459	1.208	0.586	-0.463	0.351	-1.225	1.712	-0.141	0.812	-0.352	0.117	-1.613
16	0.556	0.224	-0.670	-1.686	0.020	0.076	-0.963	0.488	-1.024	1.973	1.176	-0.393	-1.002	-0.196	0.866	-0.527	0.419	0.316	0.629	1.110	-0.490	0.128	-0.697	0.852	-1.322	-1.721	1.039	1.402	0.711	-0.382	1.293	1.378	-0.032	0.442	-0.542	0.415	0.791	-0.955	0.424	0.419	-1.107	0.920
17	-0.722	0.689	0.636	-1.873	0.337	-0.994	0.506	-0.118	0.933	-0.046	0.474	0.344	-0.393	0.278	-0.524	-0.007	-0.144	1.032	-0.452	1.731	-0.459	0.736	-0.279	-0.382	-0.221	-0.568	0.429	-0.297	-0.914	-0.688	0.266	-0.324	-0.030	0.249	-1.154	-0.130	-0.774	0.372	-0.412	-0.703	0.631	0.307
18	0.775	0.355	0.488	2.342	1.545	0.952	0.719	-0.303	0.107	0.573	0.865	-0.291	1.117	1.184	0.634	1.202	1.752	-0.632	-0.413	1.332	0.603	0.647	0.365	0.734	0.918	-0.857	-0.885	0.081	0.760	-0.187	1.927	0.406	2.297	0.382	-0.505	0.700	1.977	0.800	1.376	0.717	-0.162	1.783
19	0.250	-1.781	-1.000	-0.551	-1.393	0.563	-0.963	0.703	-1.340	-0.322	-0.189	-0.197	0.958	0.244	-0.154	-1.671	0.391	-1.152	-0.492	-2.781	0.079	-0.524	0.328	0.418	0.970	0.665	-1.783	-0.596	0.123	0.200	-1.374	-1.079	-0.032	-0.641	1.218	-0.557	-0.545	0.245	-0.739	-0.448	0.588	-0.524
