10010003	4	2	3	1	4	1	3	2	3	2	5	2	3	1	2	1	4	1	3	1	4	1	4	2	5	3	3	3	2	5	1	5	1	4	2	4	2	4	1	3	1	2	1	3	2	4	1	4	2	2	2	4	4	3	3	4	3	3	3	2	2	3	2	3	1	4	2	4	2	3	2	3	2	2	2	4	2	5	2	3	2	2	4	4	4	5	4	2	3	5	2	5	3	5	3	4	2	4	4	2	4	3	4	2	4	4	5	2	4	2	4	4	4	0	1
10010006	5	4	5	5	5	5	4	2	4	4	2	3	4	5	4	2	5	5	2	5	4	3	4	2	5	4	4	3	5	4	3	5	1	5	4	3	1	1	3	4	3	5	5	1	4	3	1	4	4	4	5	4	2	4	3	3	4	4	4	1	3	3	1	5	3	5	3	4	5	3	2	3	5	4	1	5	5	4	3	5	1	4	5	1	5	4	5	5	5	5	1	4	5	5	4	5	2	5	2	1	5	5	1	2	2	1	2	4	5	2	3	2	4	0	1
10010013	5	3	5	2	5	2	4	1	5	3	3	1	4	1	1	1	4	1	4	2	5	5	3	3	4	4	3	5	2	5	3	5	2	5	3	2	2	5	3	4	2	4	3	5	2	3	2	4	4	3	5	5	1	5	2	5	5	5	5	3	3	1	5	4	2	5	4	5	5	4	1	5	3	4	3	4	3	4	2	3	3	2	5	5	2	4	4	5	4	5	2	4	2	5	4	4	3	5	2	4	4	2	2	3	4	3	5	2	3	2	2	5	4	0	1
10010015	5	2	4	3	5	4	4	1	1	2	3	4	5	3	3	1	3	3	5	1	5	1	4	2	5	4	4	5	1	4	2	5	3	5	2	3	3	4	1	5	1	4	1	1	2	5	1	5	4	2	2	3	3	3	4	5	5	5	5	4	2	3	2	4	1	5	1	5	2	5	1	1	3	4	1	5	1	5	2	3	1	1	5	5	3	5	4	2	5	5	1	4	2	5	1	5	1	5	5	2	4	2	3	3	4	5	5	1	4	1	4	2	2	0	1
10010016	3	1	5	2	5	3	5	2	2	3	3	2	3	4	5	2	2	2	3	3	3	4	2	2	5	5	3	3	3	5	2	5	3	2	3	4	3	2	2	3	4	4	4	2	2	2	4	2	4	3	2	4	4	5	2	4	5	3	3	2	2	4	1	5	2	4	2	5	5	3	2	2	3	3	2	4	2	4	2	3	2	3	4	3	2	3	3	4	4	5	3	5	2	3	4	5	3	4	3	3	5	3	4	3	2	3	5	3	4	2	4	3	4	0	1
10010017	4	4	3	4	4	2	4	3	2	4	2	4	3	5	3	4	3	1	2	3	5	3	3	4	3	3	3	4	5	4	2	3	3	5	2	2	2	3	4	3	2	3	3	4	3	2	2	4	4	4	3	2	4	3	2	4	3	5	3	2	4	4	2	4	4	4	2	4	4	2	2	4	4	2	4	4	4	4	4	2	4	2	4	4	2	4	2	4	4	4	2	2	2	4	4	4	2	4	4	2	3	4	2	4	4	2	4	4	4	2	2	3	4	0	1
10010019	3	2	3	5	4	4	3	3	4	3	3	2	4	2	2	3	2	2	3	4	3	4	3	2	4	3	2	3	2	4	2	3	4	3	3	2	3	3	3	4	2	4	2	2	2	3	2	3	4	4	3	3	2	4	2	3	2	3	2	4	4	4	2	3	4	3	4	4	4	3	3	2	4	3	4	4	3	3	3	4	3	3	3	3	4	3	3	4	3	4	3	4	2	3	3	3	3	3	3	2	3	4	3	3	4	3	3	2	3	2	2	4	3	0	1
10010022	3	2	4	4	4	3	4	2	3	3	4	3	4	2	3	2	4	2	3	2	4	2	4	3	4	4	4	4	3	4	2	4	2	4	3	2	2	4	2	4	2	4	1	4	1	4	2	3	3	3	2	4	2	4	3	3	3	3	4	2	4	3	2	3	2	4	2	5	3	3	3	2	4	3	2	5	3	4	3	4	3	4	4	3	2	3	3	4	4	4	2	5	4	3	3	3	2	4	2	1	4	2	4	2	5	3	4	1	4	3	3	4	4	0	1
10010025	3	2	4	2	3	3	3	2	2	2	4	4	5	2	3	2	3	1	4	1	4	1	3	2	5	4	3	3	3	4	3	4	3	4	2	4	3	3	1	4	2	3	2	2	1	4	2	5	3	2	2	3	5	3	4	3	4	5	4	3	2	5	3	2	2	4	2	5	2	4	2	2	3	4	2	4	2	4	2	2	2	2	4	3	2	4	3	1	4	4	1	3	2	4	2	4	2	4	4	1	3	2	3	2	4	5	4	1	3	2	3	3	3	0	1
10010026	4	3	1	5	3	3	2	5	3	5	4	3	3	3	3	3	1	1	2	3	3	3	3	3	3	2	2	4	2	4	1	3	3	3	2	2	5	4	2	3	1	4	2	3	5	2	3	3	5	5	3	3	3	4	2	3	2	4	3	5	3	2	2	3	4	2	2	3	3	4	4	5	5	3	4	4	4	3	3	4	4	4	3	2	3	2	3	5	4	3	3	5	2	3	3	4	2	2	2	2	2	3	1	3	3	2	3	3	3	1	2	3	5	0	1
10010030	3	2	4	3	4	4	4	2	2	2	4	3	4	2	3	2	3	3	4	2	4	2	3	2	4	4	3	4	1	4	4	4	3	4	2	3	2	3	2	4	2	3	2	3	2	4	1	4	3	3	2	3	3	4	2	4	4	4	4	5	3	3	3	3	2	4	2	4	3	4	2	4	3	3	2	4	3	4	2	2	2	2	4	3	2	4	4	3	4	5	2	4	2	4	2	3	2	4	4	2	4	3	2	3	3	3	4	2	2	2	4	3	3	0	1
10010035	5	3	3	5	3	2	4	2	3	4	3	2	3	3	3	2	3	3	3	3	4	3	3	3	3	4	3	2	2	4	3	3	3	4	2	3	3	3	3	5	4	4	2	2	2	3	2	3	3	4	3	3	1	4	2	3	4	4	4	4	4	2	3	3	3	4	3	5	3	3	3	2	4	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	4	2	3	4	3	3	3	3	2	3	3	2	3	5	3	2	3	5	3	2	3	3	0	1
10010036	3	2	3	3	3	3	3	2	3	3	3	3	4	2	3	2	3	2	3	2	3	1	3	3	4	3	4	4	4	4	3	4	3	4	1	3	2	4	1	4	2	3	3	3	4	4	2	3	3	3	4	3	1	4	3	4	3	4	5	3	2	3	3	3	2	3	1	5	3	3	2	5	3	3	2	4	3	3	3	3	2	2	4	3	2	4	3	4	4	4	3	3	2	3	3	3	2	4	4	1	3	3	3	2	3	4	5	3	3	3	3	2	4	0	1
10010037	3	3	3	4	3	2	2	3	2	3	3	2	4	3	3	2	3	3	2	4	3	2	3	4	4	3	4	3	2	2	3	3	3	4	3	2	4	3	2	3	2	3	3	2	2	3	3	2	4	3	3	2	3	3	2	3	3	3	4	2	3	2	4	3	3	2	3	4	2	5	4	2	4	3	2	4	3	4	3	3	3	2	3	2	2	3	3	3	2	3	3	4	3	2	2	2	3	3	3	3	3	3	3	5	3	3	3	3	2	3	2	2	2	0	1
