1	0.815	-0.514	-1.127	-0.154	0.004	0.017	-0.729	-0.512	-1.309	0.741	-0.245	-1.186	-1.647	-0.114	0.320	-0.863	-0.879	-1.162	-1.287	-0.220	-0.980	-1.453	0.500	0.794	0.545	-1.033	0.011	-0.336	0.077	-1.269	0.470	-0.277	0.178	-0.486	-0.595	-0.774	1.122	1.176	0.048	-0.336	-0.836	-1.718
2	0.336	0.490	0.270	0.132	-0.228	0.358	0.069	-0.055	-0.702	0.636	-0.390	0.768	-0.782	0.127	0.147	0.109	-0.307	0.209	-0.142	-0.131	0.800	-0.434	-0.070	0.163	-0.418	0.611	-0.377	-1.220	-0.597	0.089	0.270	0.362	0.178	-0.498	0.715	-0.089	0.462	0.142	0.125	-0.313	-0.378	0.435
3	0.289	-0.538	0.318	0.268	-0.761	0.129	-0.652	-0.032	-0.183	1.151	0.074	-0.949	-0.475	-0.360	0.386	0.176	-0.520	-0.453	-1.050	0.720	0.800	0.206	0.324	0.595	0.599	-0.916	-0.199	-1.220	-0.166	-0.467	0.551	-0.141	-0.432	-0.309	0.845	-0.616	1.168	0.821	0.356	0.817	-0.687	-1.718
4	-0.027	-0.318	-0.182	0.116	-0.195	-0.282	-0.341	0.789	0.249	0.603	0.053	-0.013	-0.542	0.009	0.119	1.056	0.213	0.190	-0.800	-0.068	-0.909	0.055	0.277	-0.273	-0.399	-0.673	-0.998	0.837	0.380	-1.073	0.156	0.252	0.180	0.044	-1.858	-0.392	-0.500	-0.954	-0.324	-0.937	-0.427	-1.413
5	0.132	0.030	0.708	-0.120	-0.220	0.480	0.540	-0.780	0.802	-0.880	0.011	-0.135	-0.204	-0.663	-0.816	-0.341	-0.629	-1.650	0.727	-1.024	0.789	1.366	0.867	1.345	1.562	0.972	0.750	0.119	0.811	-0.974	-0.458	-0.213	-0.207	0.657	0.540	-0.652	-0.066	-0.671	-0.324	0.974	0.493	-1.484
6	-0.027	-0.484	-0.472	-0.032	-0.668	-0.495	-0.201	0.341	-0.663	0.532	-0.406	-0.505	0.094	-0.248	0.485	0.161	0.150	0.454	-0.313	-0.146	0.644	-0.585	-0.931	-0.367	-0.522	0.744	0.084	0.015	0.397	0.092	-0.265	0.228	-0.219	-0.457	0.362	-0.830	0.036	-0.527	-1.165	-0.729	-0.687	-0.763
7	-0.129	0.039	-0.334	0.104	-0.552	0.682	-0.107	0.182	0.279	0.603	-0.050	0.258	-0.367	-0.090	-0.109	0.248	0.150	-0.189	-0.222	-0.900	-0.069	0.243	0.067	-0.161	-0.405	0.004	-0.198	-0.369	-0.335	0.391	0.010	0.021	-0.105	-0.087	-0.433	-0.727	0.599	0.082	-0.515	-0.656	-0.287	-0.629
8	-0.463	0.807	0.285	0.333	-0.179	-0.048	0.442	-0.044	-0.065	1.144	0.354	-0.013	-0.142	-0.351	0.431	0.307	-0.237	0.554	0.259	-0.269	-0.362	0.286	0.174	-0.600	-0.471	-0.261	0.529	0.697	0.427	-0.350	0.576	0.255	0.180	-0.474	-1.181	-0.952	-0.803	-0.527	-1.027	-1.258	-0.505	-1.413
9	-0.161	0.388	-0.009	0.145	0.319	-0.282	-0.201	0.464	-0.729	0.134	-0.012	0.557	-0.818	-0.365	0.431	-0.193	-0.237	0.963	-0.260	-0.133	-0.156	-0.548	-0.042	-1.297	0.424	-0.361	0.268	0.432	-0.093	-0.087	0.568	0.252	0.552	-0.239	-1.251	-0.546	-0.236	0.179	-1.056	-1.065	-0.697	-0.763
10	0.567	-0.287	-0.301	-0.101	-0.152	-0.495	0.574	-0.424	-0.309	1.521	-0.384	-0.013	-0.832	-0.259	-0.814	-0.319	-0.237	-0.189	-0.427	-0.307	-0.909	0.095	-0.327	0.493	-0.471	-0.261	0.171	0.776	0.266	-0.070	0.320	0.098	0.072	-0.456	-1.454	-0.546	-0.485	-0.527	-1.056	-1.258	-0.505	-0.321
