10010001	1	22	5	4	4	3	4	2	2	2	2	2	3	4	2	4	5	4	3	2	2	3	2	2	2	2	3	4	4	4	4	4	1	4	2	2	2	3	4	4	4	4	5	5	4	2	4	2	4	2	3	2	4	2	2	3	3	4	4	4	5	4	5	5	2	4	5	4	4	4	4	4	2	2	1	2	2	4	2	4	2	4	4	4	4	3	2	2	4	2	5	2	3	2	3	4	3	2	3	3	1	2	4	4	5	5	3	4	4	5	4	3	4	2	4	3	3	4	4	5	5	5	5	4	4	4	4	4	2	4	2	2	2	3	2	2	2	1	2	3	2	2	2	2	2	4	5	4	4	4	2	2	2	2	2	1	2	2	2	3	4	2	2	3	4	4	4	3	4	5	4	4	4	4	4	4	4	4	3	3	3	2	4	2	3	2	3	3	3	4	4	4	5	4	4	4	2	4	4	2	2	4	4	4	4	1
10010002	1	24	4	4	5	4	4	1	1	2	1	1	3	2	1	2	4	3	2	3	2	3	2	3	1	1	4	3	4	3	4	1	1	4	2	3	1	3	2	3	4	5	4	4	3	2	4	1	5	1	4	2	1	1	1	2	2	4	4	5	3	4	4	5	1	5	4	4	4	4	4	4	2	2	2	2	1	2	1	4	3	4	5	4	4	4	1	3	3	2	4	1	1	1	4	1	2	3	3	3	2	3	5	5	5	3	5	2	2	4	4	4	1	2	3	3	4	3	3	4	3	3	4	4	4	3	4	4	1	4	1	1	1	1	2	1	1	1	1	3	3	2	5	2	2	4	4	4	4	4	1	3	1	1	4	3	2	3	2	2	2	3	2	2	2	4	4	4	5	4	4	5	4	4	4	4	4	5	4	4	4	3	4	4	4	4	3	4	4	4	4	4	4	5	5	5	1	5	3	1	2	3	4	4	4	1
10010003	1	19	3	3	4	3	3	1	1	2	1	2	3	3	1	2	3	4	3	3	2	2	3	2	2	1	3	3	3	4	4	2	3	4	2	3	3	3	2	3	5	4	3	3	3	1	4	2	3	2	3	3	2	2	2	2	2	4	5	5	4	3	3	5	1	4	4	3	3	5	4	5	1	1	1	2	2	4	2	2	3	4	4	3	4	3	2	2	4	2	5	2	2	1	4	1	4	1	2	1	1	2	4	5	5	5	3	3	2	4	3	4	3	2	3	4	3	4	3	4	5	3	4	4	3	5	3	4	2	4	1	1	2	2	4	2	1	1	2	2	1	2	3	2	2	3	3	3	4	4	1	1	2	1	3	2	2	3	2	5	3	3	2	2	3	3	2	3	4	4	4	4	2	3	4	4	4	3	2	3	2	2	3	3	4	4	2	3	3	3	3	3	5	4	3	4	1	5	3	2	2	4	4	4	5	1
10010004	1	22	4	3	4	4	3	2	3	5	2	1	2	2	2	3	4	4	3	2	3	2	2	1	1	2	2	3	2	3	3	4	3	4	2	4	1	2	1	3	5	4	3	3	3	1	3	2	3	3	3	2	3	4	4	4	4	3	1	3	3	2	4	4	1	4	2	4	4	4	4	4	3	4	4	4	2	4	2	4	5	4	3	3	3	4	2	5	3	5	3	5	2	3	3	1	5	3	4	4	3	4	4	4	3	5	5	3	1	3	4	3	1	1	1	2	1	1	3	4	3	4	2	1	3	1	3	2	2	2	2	2	2	1	3	3	1	5	2	2	1	3	4	1	1	5	3	4	4	4	2	4	2	3	1	1	1	2	3	2	2	2	4	4	4	3	3	4	5	4	4	4	3	3	3	4	5	4	1	1	1	2	3	4	4	2	4	4	4	4	5	4	5	5	4	5	1	4	1	4	3	2	4	4	4	1
10010005	1	18	4	3	5	4	4	1	2	1	1	1	4	3	2	5	3	4	2	1	1	4	1	1	1	1	4	4	1	4	5	3	2	4	5	5	4	5	1	3	5	5	5	5	3	1	4	1	5	1	4	2	1	4	4	4	1	3	2	3	3	2	5	5	1	4	4	5	5	3	2	1	5	5	5	4	2	4	4	4	3	3	4	2	3	4	2	5	4	2	4	2	5	5	1	5	5	4	4	3	3	4	4	5	5	5	5	2	3	5	4	5	4	2	1	5	1	5	4	5	4	5	5	5	4	4	5	4	2	4	3	3	2	1	2	1	1	1	2	4	1	5	4	3	2	5	5	5	4	4	4	4	1	2	1	1	2	2	2	5	4	1	2	5	4	2	5	5	5	5	4	4	5	4	5	4	4	5	1	1	1	4	4	5	5	4	5	5	5	4	4	5	5	5	5	3	1	5	2	3	1	1	5	5	4	1
10010006	1	21	4	5	4	4	5	4	4	3	1	2	3	4	3	2	3	3	4	5	4	3	2	1	1	2	4	5	5	5	3	1	3	4	4	5	3	2	2	4	4	5	4	1	3	3	2	2	5	1	4	5	5	3	4	2	4	3	4	5	4	2	4	5	2	5	5	4	4	5	1	2	3	5	3	3	4	5	3	5	5	5	5	3	1	3	1	2	4	2	4	5	5	4	1	4	2	5	5	4	5	4	5	5	4	5	4	4	5	5	3	2	5	2	4	2	3	4	4	5	5	3	5	4	3	2	2	5	1	4	1	3	2	1	2	4	4	3	5	5	5	5	2	2	2	4	4	4	3	3	4	1	2	4	1	1	3	3	1	4	2	2	1	5	5	5	3	5	5	5	4	5	3	4	4	5	3	4	1	2	2	2	4	5	5	1	3	5	5	3	5	5	4	5	5	4	2	4	2	2	4	2	5	5	5	1
10010007	2	21	4	4	4	4	4	2	2	2	1	2	2	2	1	3	2	3	4	2	2	2	2	2	3	3	4	2	2	2	3	2	2	5	2	2	2	3	2	3	3	5	3	4	3	1	3	4	4	3	4	2	3	2	2	3	1	5	5	4	5	4	4	4	2	4	5	4	5	4	4	4	3	3	2	2	2	3	2	5	3	4	4	3	3	4	2	2	5	2	4	3	1	2	4	1	3	3	3	3	3	2	3	2	3	3	2	4	2	3	3	4	2	2	2	4	2	3	4	4	4	4	3	3	4	4	4	2	3	2	2	2	2	1	3	3	3	3	3	3	3	3	4	3	2	4	4	3	3	4	2	3	2	3	4	2	2	2	2	3	3	3	2	2	3	3	4	3	5	5	3	4	4	4	4	4	3	4	3	4	4	4	4	4	4	2	2	4	5	4	4	4	3	4	4	4	1	4	2	2	2	2	4	4	4	1
10010008	2	22	4	4	4	4	4	2	2	1	2	2	2	2	2	3	3	3	3	2	3	2	2	2	2	2	3	3	4	4	4	4	1	5	2	2	2	3	3	4	5	4	3	3	3	2	3	2	4	2	3	2	3	2	2	3	1	4	4	4	3	4	4	5	4	3	4	4	4	4	4	4	3	2	2	2	2	2	1	3	3	4	4	3	3	4	2	3	3	3	4	2	2	2	3	3	2	3	3	4	2	3	4	4	5	4	4	2	2	3	2	2	2	2	3	3	2	3	3	4	3	3	4	4	4	3	4	4	2	4	2	1	1	1	2	1	1	1	2	2	2	2	2	3	1	4	4	3	4	4	2	2	1	2	4	3	2	3	2	3	3	2	2	3	2	3	3	3	5	4	4	4	3	4	4	4	4	3	4	4	3	3	4	3	3	2	4	3	3	3	4	3	5	4	5	4	1	4	3	3	2	3	4	4	4	1
10010009	2	20	4	4	4	3	4	1	1	1	1	2	2	2	1	2	4	3	3	3	3	3	3	2	2	3	5	3	4	3	5	2	1	5	1	2	2	3	4	4	5	5	4	4	2	1	2	2	3	2	3	3	2	1	2	3	2	4	4	4	4	4	4	5	1	4	4	3	5	5	5	5	4	3	2	1	1	4	1	5	4	3	5	2	5	3	2	5	4	2	4	2	2	1	4	3	2	3	3	4	3	2	4	2	5	5	3	4	4	4	4	3	4	2	3	3	2	4	3	4	1	5	4	3	5	3	4	4	3	3	1	2	1	1	2	2	1	1	4	2	4	2	2	2	3	5	3	3	4	3	2	2	2	2	2	1	3	2	2	1	3	2	2	4	4	2	2	2	5	5	5	4	4	5	4	4	4	4	3	4	4	3	4	5	4	2	2	5	5	4	4	5	5	5	5	5	1	4	3	2	1	2	5	5	5	1
10010010	2	20	5	5	5	4	5	3	1	1	1	2	3	3	2	4	2	4	4	4	2	3	3	3	2	2	4	5	5	4	4	2	3	5	1	3	1	4	1	5	5	5	3	3	3	2	3	2	3	2	4	2	3	2	2	3	3	2	3	2	3	3	5	5	1	2	4	5	5	4	3	2	4	2	4	2	2	3	4	4	3	5	5	4	5	5	1	4	4	2	5	2	3	3	2	3	5	3	5	5	1	1	5	5	5	5	5	3	4	4	3	5	5	4	5	5	5	5	5	5	5	5	5	4	2	4	4	4	2	5	2	2	2	1	2	2	1	1	1	3	2	2	2	2	1	3	4	4	3	3	2	2	2	2	4	4	3	2	3	4	4	2	1	4	4	5	4	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	5	5	5	1	5	4	2	2	5	4	4	5	1
10010011	1	18	5	5	5	5	5	1	1	2	1	2	2	3	2	3	3	5	2	3	5	4	4	2	1	2	3	5	5	4	5	5	2	5	3	5	2	5	1	5	2	5	3	3	1	1	1	1	5	3	5	3	1	3	5	4	1	5	5	5	5	4	5	5	1	4	4	5	5	5	3	5	1	1	3	2	3	5	3	5	5	5	5	3	5	3	2	5	4	3	5	1	2	4	5	1	5	3	4	3	2	3	5	4	5	5	5	3	5	3	5	5	1	1	5	5	2	2	4	5	1	2	5	4	3	4	3	3	2	3	3	3	5	1	3	2	1	1	1	5	3	3	3	3	2	5	5	3	3	3	3	1	1	3	1	1	1	3	5	5	3	1	4	2	4	5	3	5	5	5	5	5	5	4	3	5	5	5	1	1	1	1	1	3	3	1	5	1	4	5	5	5	4	5	5	5	3	5	2	1	3	1	3	3	5	1
10010012	2	20	4	4	5	4	4	1	1	1	1	2	2	1	1	2	3	3	4	2	2	4	2	2	2	2	3	4	4	4	4	2	1	4	1	3	1	4	3	4	4	4	2	2	1	2	3	2	4	2	3	2	2	2	2	3	1	5	4	5	5	4	4	4	2	5	4	4	4	4	4	4	3	2	2	2	2	3	2	4	4	4	4	3	5	4	2	3	3	3	4	2	2	2	4	2	3	2	4	3	2	3	4	4	5	4	4	2	2	3	2	1	2	4	2	3	2	2	3	3	3	3	3	3	2	3	3	3	3	3	1	1	2	1	4	1	1	1	2	2	2	2	3	2	1	4	4	3	3	4	4	2	2	2	3	3	2	4	2	2	2	2	1	3	2	4	3	4	5	5	4	5	5	4	3	4	4	4	1	2	1	2	3	4	5	3	4	4	5	4	4	5	5	5	5	4	2	4	3	1	2	3	4	4	4	1
